Section,Title,Corpus,Reference,Tables,Keywords,subject,relation,object,Summary,Concept_range,Synonyms,Relation_Non_Taxonomique,Topic
6.1,purpose and objectives of perform qualitative risk,analysis process perform qualitative risk analysis process assesses evaluates characteristics identified project risks prioritizes risks based agreedupon characteristics assessing individual risks using qualitative risk analysis evaluates probability risk will occur effect individual risk project objectives as such does not address overall risk project objectives results combined effect risks potential interactions other this can be achieved use quantitative risk analysis techniques see one step analysis is categorize risks according sources causes if several risks arise a common source called a root cause risk responses may be effective focus addressing root cause identifying common effects groups risks allows identification areas greatest risk exposure eg project completion date budget a particular deliverables scope facilitating risk response focus areas methods qualitative risk analysis are applied list risks created updated identify risks process provide project management characteristics risks have influence positive negative achieving projects objectives risks are assessed as high priority either threaten enhance achievement project objectives will be important focus plan risk responses process they may be analyzed such as analysis overall project risk is discussed perform quantitative risk analysis process,[],[]," qualitative risk analysis , risk analysis process , risk project objectives , analysis process perform , analysis process assess , achieve project objective , project objectives result , achievement project objective , analysis evaluate probability , project objective risk",overall project risk,discuss,quantitative risk analysis process,"can called they scope agreedupon positive assessed group not exposure technique enhance date negative identified applied combined created created .
 discussed cause potential assessing ass analyzed according allows probability method individual facilitating other common step based budget .","['use risk analysis technique', 'step analysis', 'focus address root cause', 'effect group risk identification area risk exposure eg project completion date budget scope facilitate risk response focus area method risk analysis', 'influence achieve project risk', 'priority enhance achievement project objective', 'response process']","['identify project risk', 'risk base assess individual risk', 'risk analysis', 'probability risk', 'effect risk project', 'risk project', 'result effect risk potential interaction', 'use risk analysis technique', 'source call root cause risk response', 'focus address root cause', 'risk process', 'project management risk', 'influence achieve project risk', 'response process']","['evaluate', 'prioritize', 'use', 'evaluate', 'will occur', 'objectives do address', 'objectives', 'can be achieve', 'see', 'be categorize', 'arise', 'may be', 'identify', 'be', 'create updated', 'provide', 'have', 'be assess', 'will be', 'risk', 'may be', 'be']",Perform Qualitative Risk Analysis
6.2,critical success factors for perform qualitative risk,analysis process several factors lead successful qualitative risk analysis are described sections summarized figure agreement project stakeholders is a fundamental criterion a common theme agreedupon approach is foundation process credibility agreedupon definitions enable highquality information be collected conditions place process can be executed contributes credibility outputs perform qualitative risk analysis figure building risk analysis credibility,['Figure 6-1'],[]," qualitative risk analysis , successful qualitative risk , perform qualitative risk , building risk analysis , lead successful qualitative , output perform qualitative , figure building risk , factor lead successful , describe section summarized , agreement project stakeholder",credibility output,be,qualitative risk analysis credibility,"can information risk agreedupon condition figure analysis output approach are common collected building credibility .
 criterion theme be successful project perform process lead factor fundamental enable place executed several contributes highquality .","['analysis process factor risk analysis', 'section', 'figure agreement project stakeholder', 'criterion theme approach', 'process credibility definition highquality information', 'condition place process']",[],"['be', 'summarized', 'be', 'be', 'be', 'can be', 'perform']",Perform Qualitative Risk Analysis
6.2.1,use agreedupon approach,process is based agreedupon approach assessment is applied across identified risks project by nature project risk risks may be assessed according probability occurrence impact individual objectives should risk occur other factors may be considered determining importance a risk as follows urgency proximity risks requiring near term responses may be considered urgent address indicators urgency can include lead time necessary execute a risk response clarity symptoms warning signs known as detectability may trigger response manageability some risks are not manageable would be a waste resources attempt address them project team may examine decide to go establishing a contingency reserve stop rescope project risks pose unmanageable threat opportunity should not be missed high probability consequences inform customer risks ask a decision point view impact external project a risk may increase importance affects enterprise beyond project,[],[]," base agreedupon approach , agreedupon approach assessment , include lead time , clarity symptom warn , symptom warn sign , waste resource attempt , contingency reserve stop , reserve stop rescope , pose unmanageable threat , unmanageable threat opportunity",external decision point risk,be,enterprise  project,can threat ask considered agreedupon team stop beyond assessed examine not them decide identified applied manageability importance according point probability individual decision enterprise view other increase missed based resource some proximity execute across manageable high customer lead requiring indicator impact factor pose is assessment follows are clarity by urgent rescope necessary be detectability .,"['approach assessment', 'risk project nature project risk risk', 'accord probability occurrence impact objective', 'factor', 'importance risk urgency proximity risk', 'term response', 'address indicator urgency', 'time execute risk response clarity symptom', 'sign', 'detectability', 'response manageability risk', 'waste resource attempt', 'team', 'contingency reserve', 'threat opportunity', 'probability consequence inform customer risk']","['approach assessment', 'threat opportunity']","['be base', 'be apply identified', 'may be', 'should risk', 'may be', 'require', 'may be consider', 'can include', 'warn', 'know', 'may trigger', 'be would be', 'project', 'may examine decide go establish', 'stop', 'pose', 'should be', 'ask', 'may increase']",Perform Qualitative Risk Analysis
6.2.2,use agreedupon de nitions of risk terms,risk assessment should be based agreedupon definitions important terms definitions should be used assessing risk use definitions example levels probability impact objectives assists providers information giving realistic assessments risk facilitates communication results management other stakeholders perform qualitative risk analysis,[],[]," level probability impact , probability impact objectives , impact objectives assist , objectives assist provider , assist provider information , provider information give , information give realistic , facilitates communication result , communication result management , stakeholder perform qualitative",other result stakeholder,be base,qualitative risk analysis,assessment realistic information communication risk agreedupon analysis other result example based qualitative giving use facilitates should be used assist perform assessing term impact objective important provider probability stakeholder management definition level .,"['risk assessment', 'definition term definition']",['assessment risk'],"['should be', 'should be', 'give', 'facilitates']",Perform Qualitative Risk Analysis
6.2.3,collect highquality information about risks,collection highquality information risks is required information is not available historic database should be gathered interviews workshops other means using expert judgment data gathered individuals may be subject reporting intentional bias when occurs bias should be identified remedied possible a different unbiased source information should be found used,[],[]," collection highquality information , expert judgment data , subject report intentional , gather interview workshops , data gather individual , judgment data gather , report intentional bias , highquality information risk , unbiased source information , collection highquality",unbiased source information,require,when  bias,"database possible required gathered information intentional risk judgment other not subject collection .
 bias identified source when using should be workshop found used mean data expert historic interview available may highquality a .","['collection highquality information risk', 'database', 'interview', 'mean use judgment data', 'report intentional bias occur bias']",['database'],"['be require', 'be', 'should be', 'workshops', 'may be', 'should be identify remedied', 'should be']",Perform Qualitative Risk Analysis
6.2.4,perform iterative qualitative risk analysis,success qualitative risk analysis is enhanced process is used throughout project it is impossible know advance risks may occur a project identify risks perform qualitative analysis processes should be repeated individual risks frequency effort will be planned plan risk management process may depend events within project itself,[],[]," perform qualitative analysis , success qualitative risk , identify risk perform , individual risk frequency , risk frequency effort , repeat individual risk , qualitative analysis process , risk perform qualitative , plan risk management , project identify risk",risk management process,be,project,"success risk effort event analysis frequency .
 frequency individual itself qualitative planned impossible plan depend .
 used should be know it will project enhanced advance perform process identify may a management is within repeated occur throughout project .","['success risk analysis', 'use project', 'advance risk', 'project identify risk', 'analysis process', 'risk frequency effort', 'plan plan']",['use project'],"['be enhanced', 'be', 'be', 'may occur', 'perform', 'should be', 'will be', 'risk', 'may depend']",Perform Qualitative Risk Analysis
6.3,tools and techniques for perform qualitative risk analysis process,tools techniques used assessing individual risks will identify risks are important projects success this process is illustrated figure figure perform qualitative risk analysis process perform qualitative risk analysis,"['Figure 6-2', 'Figure 6-2']",[]," perform qualitative risk , qualitative risk analysis , important project success , figure perform qualitative , process perform qualitative , assess individual risk , analysis process perform , illustrated figure figure , figure figure perform , risk analysis process",illustrated figure figure,identify,qualitative risk analysis,"success risk figure analysis are qualitative technique illustrated tool used will project perform assessing process identify important is this individual's role .
 success risk analysis are a tool that can be used to assess the success of a project .
 the risk figure is a visual representation of the project's success and failures .",['risk'],['risk'],"['will identify', 'be', 'be illustrated']",Perform Qualitative Risk Analysis
6.3.1,select risk characteristics that de ne risks importance,qualitative risk analysis tools provide ways distinguish risks are important response analysis are important criteria make a risk interest management are agreed upon advance implemented tools used output qualitative risk analysis tools includes a listing risks priority order priority groups eg high moderate low tools qualitative risk analysis allow organization project stakeholders specify levels combinations risk characteristics make a particular risk interest management most tools assess a risks importance a combination probability occurrence degree impact objectives,[],[]," qualitative risk analysis , risk interest management , risk analysis tool , degree impact objective , important response analysis , important criterion make , high moderate low , organization project stakeholder , probability occurrence degree , occurrence degree impact",most  tool,provide,risk importance,"interest risk output analysis most occurrence are way order group provide specify combination qualitative particular low upon .
 priority criterion organization used listing high importance project degree advance ass eg impact agreed objective make important distinguish includes moderate a stakeholder probability response management implemented characteristic level .","['way risk', 'criterion', 'tool qualitative risk analysis organization project stakeholder']","['way risk', 'criterion', 'advance implement tool use output risk analysis tool', 'listing risk priority order priority group', 'tool qualitative risk analysis organization project stakeholder']","['provide', 'be', 'be', 'make', 'be', 'include', 'eg', 'specify', 'make']",Perform Qualitative Risk Analysis
6.3.2,collect and analyze data,assessment individual risks is based information collected them data collection evaluation tools including interviews workshops references databases prior projects require management support attention it is important protect bias data gathering is important relying expert judgment information,[],[]," assessment individual risk , collection evaluation tool , evaluation tool include , tool include interview , include interview workshop , interview workshop reference , workshop reference databases , reference databases prior , databases prior project , prior project require",important bias data gathering,be base,management support attention,"relying assessment database information risk judgment collected attention protect based collection evaluation support tool them bias .
 project data expert prior interview important management is individual gathering .","['individual risk', 'information', 'data collection evaluation tool', 'interview workshop reference', 'project', 'management support attention']",[],"['be base', 'collect', 'include', 'databases', 'require', 'be', 'be']",Perform Qualitative Risk Analysis
6.3.3,prioritize risks by probability and impact on speci c objectives,some tools permit distinguishing a risks priority terms affected objective this capability provides a list risks are important specific objective interest management this is useful since is common risks have uneven impacts various project objectives,[],[]," tool permit distinguish , priority term affect , risks priority term , term affect objective , important specific objective , specific objective interest , objective interest management , tool permit , permit distinguish , priority term",objective interest this,distinguish,impact various project objective,interest distinguishing uneven specific risk are common since some list affected tool useful priority project have term impact permit objective important a management is provides various this capability .,"['tool', 'risks term', 'objective capability', 'list risk', 'interest management']",[],"['permit distinguish', 'affect', 'provide', 'be', 'be be', 'have uneven']",Perform Qualitative Risk Analysis
6.3.4,prioritize risks by probability and impact on overall project,there are reasons constructing a measure a specific risks importance entire project as contrasted importance specific objectives a common reason is ease communication management other stakeholders when a single risk prioritization index is needed organization should be explicit index is created index reects organizations preference among objectives technique creating overall risk priority measure should be documented plan risk management process perform qualitative risk analysis,[],[]," process perform qualitative , importance entire project , ease communication management , reects organization preference , management process perform , qualitative risk analysis , create index reects , index reects organization , contrasted importance specific , objective technique create",overall risk management process,be,qualitative risk analysis,single reason communication specific ease index risk entire analysis other are common contrasted qualitative needed reects technique among priority when created creating plan organization should be documented importance project perform preference process measure objective explicit constructing a stakeholder overall management is prioritization .,"['reason construct measure specific risk importance project importance', 'reason', 'communication management stakeholder risk prioritization index', 'organization', 'index', 'index reects organization preference technique', 'risk priority measure']",[],"['be', 'objectives', 'be ease', 'be need', 'should be', 'be', 'create', 'should be', 'risk']",Perform Qualitative Risk Analysis
6.3.5,categorize risk causes,categorizing risks may lead improved analysis probability magnitude project risk effective responses understanding relationships risks may provide a better understanding possibility magnitude project risk risks are considered as separate independent events identifying common root causes a group risks instance may reveal magnitude risk event group as a whole along effective strategies might address several risks some risks may be linked others a causal chain understanding chain risks may lead a better understanding implication risk project identifying risks can occur same time using same resources recovery might provide a realistic picture problems risk mitigation using scarce resources combining results perform qualitative risk analysis process risk breakdown structure see identify risks can show clusters priority risks arising specific sources a combination risk analysis information work breakdown structure wbs can show areas project exhibit risk assessing highpriority risks impact one objective such as schedule may indicate activities address reduce objectives uncertainty all approaches can contribute realism usefulness qualitative risk analysis,[],[]," qualitative risk analysis , magnitude project risk , lead improved analysis , show area project , analysis probability magnitude , probability magnitude project , possibility magnitude project , work breakdown structure , understanding possibility magnitude , improved analysis probability",objective  approach,lead,qualitative risk analysis,reveals can work magnitude considered exhibit chain relationship group understanding wb cause improved assessing indicate probability realism breakdown problem common resource some independent usefulness .,"['possibility magnitude project risk risk', 'event', 'risk risk', 'others causal chain understand chain risk', 'implication risk project risk', 'time use resource recovery', 'picture problem risk mitigation use resource combine result perform qualitative risk analysis process risk breakdown structure', 'risk', 'priority risk arise source combination risk analysis information work breakdown structure wb', 'area project exhibit risk assess highpriority risk', 'objective schedule', 'activity address']","['analysis probability magnitude project risk response understand relationship risk', 'possibility magnitude project risk risk', 'magnitude risk event group strategy', 'risk risk']","['may lead', 'may provide', 'be consider', 'identify', 'may reveal', 'might address', 'may be', 'may lead', 'can occur', 'might provide', 'see', 'can show', 'can show', 'impact', 'may indicate', 'reduce', 'can contribute']",Perform Qualitative Risk Analysis
6.3.6,document results of perform qualitative risk analysis process,perform qualitative risk analysis process adds structure list undifferentiated risks see identify risks categories priority priorities are based risks probability occurring potential impact specific project objectives whole project each identified risk is assigned a priority objective entire project this information is stored risk register is easy use update new information risk register list prioritized risks is posted project participants who are responsible analysis action improve project plan risks are judged have high priority are segregated analysis response planning are monitored risks low priority project may be placed a watch list are reviewed changes status,[],[]," review change status , process add structure , probability occur potential , occur potential impact , potential impact specific , register list prioritized , analysis process add , add structure list , structure list undifferentiated , responsible analysis action",low watch list,perform qualitative,low priority project,add register change information specific see risk entire analysis segregated are based assigned who qualitative list structure judged low monitored identified use priority undifferentiated update new category watch responsible plan high be prioritized planning occurring project each placed perform participant potential whole process posted status have impact identify easy objective stored improve action may be this reviewed .,"['perform risk analysis process add structure list risk', 'priority project information', 'use information risk register list', 'risk', 'participant', 'analysis action', 'project plan risk', 'judge', 'priority', 'analysis response planning', 'priority project']","['risk probability', 'impact project', 'project identify risk', 'priority project information', 'use information risk register list']","['see', 'be base', 'occur', 'objectives', 'be assign', 'be', 'be', 'prioritized', 'be post', 'be', 'improve', 'be', 'have', 'be', 'be monitor', 'may be', 'be review']",Perform Qualitative Risk Analysis
7.1,purpose and objectives of perform quantitative risk,analysis process perform quantitative risk analysis process provides a numerical estimate overall effect risk objectives project based current plans information considering risks results type analysis can be used evaluate likelihood success achieving project objectives estimate contingency reserves time cost are appropriate risks risk tolerance project stakeholders it is accepted analyzing uncertainty project using quantitative techniques such as monte carlo simulation may provide realism estimate overall project cost schedule a nonprobabilistic approach assumes activity durations lineitem cost estimates are deterministic should be recognized quantitative risk analysis is not required appropriate projects for example qualitative risk analysis may provide enough information development effective risk responses smaller projects plan risk management process benefits quantitative risk analysis should be weighed effort required ensure additional insights value justify additional effort partial risk analyses such as qualitative risk analysis aim prioritizing individual risks viewed one a time can not produce measures overall project risk risks are considered calculating estimates overall project risk is focus perform quantitative risk analysis process speci c project risks are understood quanti ed a detailed level such as lineitem cost schedule activity level by contrast project objectives such as achievement projects budget schedule are specified a higher level level total project an overall risk analysis such as one uses quantitative techniques estimates implication quanti ed risks project objectives implementation overall risk analysis using quantitative methods requires complete accurate representation project objectives built individual project elements examples representations include project schedule cost estimate identifying risks individual project elements such as schedule activities lineitem costs a level detail lends specific assessment individual risksincluding generic risks have a broader effect individual project elements applying a quantitative method such as monte carlo simulation decision tree analysis incorporates multiple risks determining overall impact overall project objective perform quantitative risk analysis results quantitative analysis will be compared project plan baseline current give management estimate overall project risk will answer important questions such as what is probability meeting projects objectives how much contingency reserve eg reserves buffers time resources cost is needed provide organization level certainty requires based upon risk tolerance what are parts project such as lineitem costs schedule activities contribute risk risks are considered which individual risks contribute overall project risk estimating overall project risk using quantitative methods helps distinguish projects quanti ed risks threaten objectives beyond tolerance stakeholders objectives are within acceptable tolerances risk is considered former may be targeted vigorous risk responses aimed protecting objectives important stakeholders a highlevel comparison quantitative qualitative risk analysis processes is presented figure figure comparison qualitative quantitative approaches,"['Figure 7-1', 'Figure 7-1']",[]," quantitative risk analysis , risk analysis process , perform quantitative risk , lineitem cost schedule , cost schedule activity , individual project element , monte carlo simulation , project risk risk , quantitative qualitative risk , project risk estimate",present figure figure comparison,perform quantitative,quantitative  approach,can highlevel part cost considered figure beyond for not benefit deterministic recognized upon technique partial evaluate prioritizing will current compared justify answer an distinguish aim stakeholder probability provides viewed method .,"['project base plan information consider risk result analysis', 'likelihood success', 'project estimate contingency reserve time cost', 'risk risk tolerance project stakeholder', 'uncertainty project', 'technique monte carlo simulation', 'realism estimate project cost schedule approach assume activity duration lineitem cost estimate', 'management process benefit risk analysis', 'effort', 'insight value', 'effort risk analysis risk analysis aim', 'risk', 'time', 'risk analysis process speci c project risk', 'ed level lineitem cost schedule activity level contrast project', 'achievement project budget schedule', 'implementation risk analysis use method', 'representation', 'project schedule cost estimate identify risk individual project element schedule activity lineitem cost level detail', 'risksincluding generic risk', 'effect project', 'method monte carlo simulation decision tree analysis incorporate multiple risk', 'impact project perform risk analysis result analysis', 'project plan', 'management estimate project risk', 'question', 'meeting project', 'contingency reserve', 'reserve buffer time resource cost', 'organization level certainty', 'base upon risk tolerance', 'risk contribute project risk estimate project risk', 'method help', 'project quanti ed risk', 'tolerance risk', 'target risk response aim']","['estimate effect risk', 'project base plan information consider risk result analysis', 'appropriate project example risk analysis', 'information development risk response project plan', 'management process benefit risk analysis', 'estimate project risk', 'risk analysis process speci c project risk', 'implementation risk analysis use method', 'project element', 'representation', 'risk contribute project risk estimate project risk', 'tolerance risk']","['provide', 'objective', 'can be', 'achieve', 'be', 'be accepted', 'use', 'may provide', 'be should be recognize', 'be', 'may provide', 'risk', 'should be', 'require ensure', 'justify', 'prioritize', 'view', 'can produce', 'be consider', 'be focus', 'be', 'objective', 'be specify', 'objectives', 'require', 'objectives', 'examples', 'include', 'lends', 'have', 'elements apply', 'determine', 'will be', 'baseline', 'will answer', 'be', 'objectives', 'eg', 'be need', 'require', 'be', 'be', 'use', 'distinguish', 'threaten', 'be', 'be may be', 'protect', 'be']",Perform Quantitative Risk Analysis
7.2,critical success factors for perform quantitative risk,analysis process success achieving objectives quantitative risk analysis depends least factors described sections perform quantitative risk analysis,[],[]," quantitative risk analysis , objective quantitative risk , perform quantitative risk , risk analysis depend , process success achieve , success achieve objective , factor describe section , describe section perform , achieve objective quantitative , section perform quantitative",describe section,achieve objective,quantitative risk analysis,"objective factor depends success risk least perform described achieving process analysis quantitative section .
 process analysis is a quantitative section of the process analysis .
 objective factor is to determine the degree to which a process can be improved .
 quantitative section is designed to provide quantitative information about the process .",['analysis process success'],[],"['achieve', 'depend']",Perform Quantitative Risk Analysis
7.2.1,prior risk identification and qualitative risk analysis,perform quantitative risk analysis process occurs identify risks perform qualitative risk analysis processes have been completed reference a prioritized list identified risks ensures perform quantitative risk analysis process will consider significant risks analyzing effects,[],[]," risk analysis process , quantitative risk analysis , perform quantitative risk , analysis process occur , prioritized list identify , ensure perform quantitative , risk analyze effect , process occur identify , significant risk analyze , occur identify risk",risk ensure,consider significant,significant risk analyze effect,"analyzing risk analysis qualitative list effect occurs quantitative identified completed reference prioritized significant will perform process ensures identify been consider a risk .
 risk analysis is a process of identifying, evaluating, assessing and mitigating risks .
 identifying and assessing risks is based on a number of factors, such as the degree to which the risk is perceived to be high .",[],"['identify risk', 'risk analysis process', 'reference list identify risk', 'risk analysis process', 'risk']","['occur', 'perform', 'have be', 'ensure', 'will consider', 'analyze']",Perform Quantitative Risk Analysis
7.2.2,appropriate project model,an appropriate model project should be used as basis quantitative risk analysis project models used quantitative risk analysis include project schedule for time lineitem cost estimates for cost decision tree for decisions face uncertainty other totalproject models quantitative risk analysis is sensitive completeness correctness model project is used,[],[]," quantitative risk analysis , basis quantitative risk , risk analysis include , sensitive completeness correctness , model quantitative risk , risk analysis project , time lineitem cost , lineitem cost estimate , decision face uncertainty , include project schedule",sensitive correctness model project,be,quantitative decision face uncertainty,"correctness decision schedule cost risk appropriate analysis tree other basis for totalproject lineitem quantitative sensitive model should be used project time face estimate uncertainty completeness an a .
 includes include uncertainty, completeness, ana is include uncertainty and completeness .
 correctness decisions should be based on the following criteria .","['model project', 'use basis quantitative risk analysis project model use risk analysis', 'project schedule time lineitem cost estimate cost decision tree decision face uncertainty model risk analysis']",[],"['should be', 'include', 'be', 'be']",Perform Quantitative Risk Analysis
7.2.3,commitment to collecting highquality risk data,highquality data risks are not available historic database should be gathered interviews workshops other means using expert judgment present collection risk data requires resources time as management support,[],[]," gather interview workshops , expert judgment present , judgment present collection , require resource time , highquality data risk , present collection risk , data require resource , collection risk data , risk data require , management support",present collection risk data,be,management support,"database gathered risk judgment other are requires not resource collection support present using present .
 a management team must be able to make decisions based on the information gathered .","['highquality data risk', 'database', 'interview']",[],"['be', 'should be', 'workshops', 'require']",Perform Quantitative Risk Analysis
7.2.4,unbiased data,success gathering risk analysis data requires ability recognize biases occur combating bias developing other unbiased sources data bias risk data can occur many reasons two common sources bias are cognitive bias motivational bias,[],[]," success gathering risk , require ability recognize , gathering risk analysis , analysis data require , data require ability , risk analysis data , unbiased source data , ability recognize bias , combat bias develop , cognitive bias motivational",common source bias,require,many  reason,"can reason many success developing risk analysis motivational .
 other requires common are unbiased recognize bias source data combating two ability occur cognitive gathering .","['success gathering risk analysis data', 'ability', 'combat bias']","['combat bias', 'reason source bias']","['require', 'recognize', 'occur', 'develop', 'can occur', 'be']",Perform Quantitative Risk Analysis
7.2.5,overall project risk derived from individual risks,perform quantitative risk analysis process is based upon a methodology derives overall project risk individual risks in risk analysis cost schedule example appropriate method is monte carlo simulation a decision tree is appropriate method making decisions future events are not certain using probability impact risks combining effect derive overall project measure such as value cost in methods risks are specified level detailed tasks lineitem costs incorporated model project calculate effects objectives such as schedule cost entire project combining risks perform quantitative risk analysis,[],[]," quantitative risk analysis , perform quantitative risk , monte carlo simulation , level detailed task , detailed task lineitem , making decision future , decision future event , calculate effect objective , risk perform quantitative , incorporate model project",cost entire schedule cost risk,perform quantitative,quantitative risk analysis,"decision level schedule cost in risk appropriate event analysis tree entire are example not specified based derive future effect lineitem calculate upon quantitative combining model simulation certain .
 using making carlo project perform process measure such value derives impact monte objective detailed incorporated task a overall probability methodology is method .","['methodology project risk risk risk analysis cost schedule example method', 'simulation decision tree', 'method', 'effect overall project measure value cost method risk', 'level', 'task lineitem cost incorporate model project']","['methodology project risk risk risk analysis cost schedule example method', 'use probability impact risk', 'effect overall project measure value cost method risk']","['be base', 'be monte', 'be', 'making', 'be', 'combine', 'be specify', 'detailed', 'calculate', 'perform']",Perform Quantitative Risk Analysis
7.2.6,interrelationships between risks in quantitative risk analysis,attention should be given possibility individual risks project model are related other for example several risks may have a common root cause are likely occur this possibility is addressed correlating risks are related ensuring occur analysis another common way represent risks occur is using risk register listing risk root cause attaching several project elements such as schedule activities cost elements when a particular risk occurs affected elements will experience effect risk,[],[]," schedule activity cost , give possibility individual , relate ensure occur , ensure occur analysis , activity cost element , occurs affect element , list risk root , address correlate risk , risk register list , register list risk",particular activity cost risk,experience,effect risk,"possibility ensuring register schedule given risk cost analysis other are common for attention example way another particular effect affected .
 a root element is this occur individual or group of individuals or groups of individuals .","['attention', 'example risk', 'root cause', 'possibility', 'risk register list risk root cause project element schedule activity cost element risk occurs']","['example risk', 'analysis way represent risk', 'risk register list risk root cause project element schedule activity cost element risk occurs']","['should be', 'be', 'may have', 'be', 'be', 'be ensure', 'occur be', 'affect', 'will experience']",Perform Quantitative Risk Analysis
7.3,tools and techniques for perform quantitative risk,analysis process tools techniques used quantitative risk analysis have several characteristics as follows,[],[]," process tool technique , analysis process tool , quantitative risk analysis , characteristic as follow , process tool , tool technique , technique use quantitative , quantitative risk , analysis process , risk analysis",use,have several,several risk characteristic,"used several follows technique a tool risk process analysis quantitative characteristic have .
 risk process analysia is a quantitative characteristic .
 the risk process is the process by which a process is characterized by the degree to which it changes over time .",[],[],['have'],Perform Quantitative Risk Analysis
7.3.1,comprehensive risk representation,risk models permit representation many not all risks have impact objective they permit representation opportunities threats projects objectives,[],[]," opportunity threats project , representation opportunity threats , model permit representation , permit representation opportunity , threats project objective , risk model permit , permit representation , opportunity threats , threats project , model permit",representation opportunity threats,impact,objective,"permit objective threat they many not project all risk have opportunity .
 risk representation impact model based on chance .
 permit objective risk they may not project risk all risk .",['risk model permit representation risk'],[],['have impact permit'],Perform Quantitative Risk Analysis
7.3.2,risk impact calculation,quantitative models facilitate correct calculation effect many risks are identified quanti ed a level detail total project project objectives are described level total project,[],[]," quantitative model facilitate , model facilitate correct , facilitate correct calculation , correct calculation effect , level detail total , describe level total , detail total project , project project objective , level total project , total project project",total project project objective,be,,"correct facilitate many ed risk are effect quantitative identified model total project detail calculation objective a quanti described level .
 a quantitative identified level is a measure of a project's success or failure .
 an objective quanti describes the level at which the project is likely to achieve its objective .",['model facilitate calculation effect risk'],[],"['be ed', 'be describe']",Perform Quantitative Risk Analysis
7.3.3,quantitative method appropriate to analyzing uncertainty,probability models use a quantitative method addresses uncertainty speci methods should be able handle way uncertainty is represented as probability events occurring as probability distributions a range outcomes a good example is use monte carlo simulation tools permit combination probability distributions lineitem costs schedule activity durations many are uncertain,[],[]," monte carlo simulation , carlo simulation tool , simulation tool permit , tool permit combination , lineitem cost schedule , cost schedule activity , schedule activity duration , distribution lineitem cost , probability event occur , permit combination probability",schedule activity many,be able,schedule activity duration,many able handle cost schedule event distribution are way combination example lineitem represented duration tool quantitative use model range simulation should be occurring carlo uncertain good speci uncertainty permit monte address activity a outcome probability is method .,"['probability model method address uncertainty speci method', 'way uncertainty', 'probability event occur probability distribution range', 'example']",[],"['should be', 'be represent', 'outcomes', 'be']",Perform Quantitative Risk Analysis
7.3.4,data gathering tools,data gathering tools used process include assessment historical data workshops interviews questionnaires gather quanti ed informationfor example probability a risk occurring a probability distribution potential impacts cost time relationships such as correlation risks perform quantitative risk analysis,[],[]," process include assessment , include assessment historical , workshop interview questionnaire , interview questionnaire gather , questionnaire gather quanti , distribution potential impact , potential impact cost , impact cost time , cost time relationship , quantitative risk analysis",informationfor example risk,include,quantitative risk analysis,"assessment ed cost risk distribution analysis relationship .
 questionnaire historical gather tool quantitative used workshop gathering .
 interview correlation a probability quanti information .",['data gathering tool use process'],[],"['include', 'perform']",Perform Quantitative Risk Analysis
7.3.5,effective presentation of quantitative analysis results,results quantitative tools are not available standard deterministic project management methods such as project scheduling cost estimating examples are probability distribution project completion dates total costs expected value a project decision these results risks are considered include following probability achieving a project objective such as finishing time within budget amount contingency reserve cost time resources needed provide a required level con dence identity location within project model important risks an example is a sensitivity analysis a cost risk analysis a criticality analysis a schedule risk analysis elements a quantitative risk analysis are illustrated figure figure structure a quantitative risk analysis perform quantitative risk analysis,"['Figure 7-2', 'Figure 7-2']",[]," quantitative risk analysis , analysis perform quantitative , risk analysis elements , risk analysis perform , perform quantitative risk , model important risk , completion date total , budget amount contingency , amount contingency reserve , required level con",quantitative risk analysis,result quantitative,quantitative risk analysis,"finishing required decision level cost considered risk schedule figure distribution con analysis result are amount example not provide deterministic .
 budget resource needed identity structure illustrated tool estimating reserve dence perform achieving location such value criticality objective objective sensitivity available standard important .","['result tool', 'deterministic project management method project schedule cost', 'example', 'distribution project completion date cost', 'value project decision result risk', 'probability', 'project time budget amount contingency reserve cost time resource']","['sensitivity analysis cost risk analysis criticality analysis schedule risk analysis', 'risk analysis']","['be', 'estimating', 'be', 'expect', 'be consider include', 'achieve', 'need provide', 'be', 'elements', 'be illustrated']",Perform Quantitative Risk Analysis
7.3.6,iterative quantitative risk analysis,success perform quantitative risk analysis process is enhanced process is used throughout project it is impossible know advance risks may occur a project quantitative risk analysis should be repeated as project proceeds frequency effort will be determined plan risk management process will depend events within project see monitor control risks,[],[]," success perform quantitative , quantitative risk analysis , proceeds frequency effort , determine plan risk , plan risk management , monitor control risk , perform quantitative risk , project proceeds frequency , risk management process , risk analysis process",risk management process,perform quantitative,monitor control risk,success see risk effort event monitor analysis frequency proceeds quantitative impossible plan depend within used should be know it will project perform enhanced advance process control may be a management is determined repeated occur throughout project .,"['success perform risk analysis process', 'use project', 'advance risk', 'project risk analysis', 'repeat project proceeds frequency effort', 'plan', 'management process']",['use project'],"['be enhanced', 'be', 'be', 'may occur', 'should be', 'will be', 'risk', 'will depend', 'see']",Perform Quantitative Risk Analysis
